"wbs";"id";"name";"start";"end";"duration";"effort";"effortdone";"effortleft";"priority";"responsible";"resources";"status";"active_sub_tasks";"open_sub_tasks";"closed_sub_tasks";"complete";"followers";"depends_on";"path_criticalness";"schedule_gauge";"cost"
"1";"task0";"test task 1";"2017-06-01";"2017-06-01";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"50,00"
"2";"task01";"tast task 2";"2017-06-01";"2017-06-01";0.0;0.0;0.0;0.0;1000;"";"";"done";0;0;1;"100%";"";"";2.0;"on schedule";"0,00"
"3";"task4";"تهیه صورتجلسه فصل مشترک";"2017-06-01";"2017-06-01";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"0,00"
"4";"task5";"طبقه 4+";"2017-06-22";"2018-05-11";323.0;0.0;0.0;0.0;500;"";"";"in progress";745;0;745;"62%";"";"";1.0;"behind schedule";"194894771585,50"
"4.1";"task5.task6";"  بلوک 6";"2017-06-22";"2018-05-11";323.0;0.0;0.0;0.0;500;"";"";"in progress";61;0;61;"58%";"";"";1.0;"behind schedule";"12794276837,50"
"4.1.1";"task5.task6.task7";"    شیب بندی بام";"2017-06-22";"2017-09-10";80.0;0.0;0.0;0.0;500;"";"";"done";8;0;8;"100%";"";"";1.0;"on schedule";"2516318152,50"
"4.1.1.1";"task5.task6.task7.task8";"      سفتکاری";"2017-06-22";"2017-09-10";80.0;0.0;0.0;0.0;500;"";"";"done";8;0;8;"100%";"";"";1.0;"on schedule";"1677545435,00"
"4.1.1.1.1";"task5.task6.task7.task8.task9";"        نصب وال پست شیب بندی بام بلوک 6";"2017-09-10";"2017-09-10";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"26234208,00"
"4.1.1.1.2";"task5.task6.task7.task8.task10";"        دیوارچینی هبلکس شیب بندی بام بلوک 6";"2017-07-03";"2017-09-10";69.0;0.0;0.0;0.0;88;"";"";"done";0;0;1;"100%";"";"";0.0;"on schedule";"33729696,00"
"4.1.1.1.3";"task5.task6.task7.task8.task11";"        عایق حرارتی شیب بندی بام بلوک 6";"2017-09-10";"2017-09-10";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"132658240,00"
"4.1.1.1.4";"task5.task6.task7.task8.task12";"        کروم بندی و فوم بتن شیب بندی بام بلوک 6";"2017-09-10";"2017-09-10";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"278582304,00"
"4.1.1.1.5";"task5.task6.task7.task8.task13";"        عایق رطوبتی و لایه محافظ شیب بندی بام بلوک 6";"2017-09-10";"2017-09-10";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"109992260,00"
"4.1.1.1.6";"task5.task6.task7.task8.task14";"        موزاییک شیب بندی بام بلوک 6";"2017-09-10";"2017-09-10";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"200700000,00"
"4.1.1.1.7";"task5.task6.task7.task8.task15";"        گاترشیب بندی بام بلوک 6";"2017-09-10";"2017-09-10";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"3336809,50"
"4.1.1.1.8";"task5.task6.task7.task8.task16";"        آهن کشی ودیوارچینی درزژوئن شیب بندی بام بلوک 6";"2017-09-10";"2017-09-10";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"53539200,00"
"4.1.2";"task5.task6.task17";"    بام باغ";"2017-07-08";"2017-11-28";143.0;0.0;0.0;0.0;500;"";"";"in progress";4;0;4;"99%";"";"";1.0;"behind schedule";"2662128771,00"
"4.1.2.1";"task5.task6.task17.task18";"      سفتکاری";"2017-07-08";"2017-11-28";143.0;0.0;0.0;0.0;500;"";"";"in progress";4;0;4;"99%";"";"";1.0;"behind schedule";"1774752514,00"
"4.1.2.1.1";"task5.task6.task17.task18.task19";"        کرسی چینی بام باغ بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"235600365,00"
"4.1.2.1.2";"task5.task6.task17.task18.task20";"        عایق رطوبتی بام باغ بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"in progress";0;0;1;"99%";"";"";1.0;"behind schedule";"299897264,00"
"4.1.2.1.3";"task5.task6.task17.task18.task21";"        کفسازی بام باغ بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"211338228,00"
"4.1.2.1.4";"task5.task6.task17.task18.task22";"        آهن کشی ودیوارچینی درزژوئن بام باغ بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"140540400,00"
"4.1.3";"task5.task6.task23";"    راهرو";"2017-07-10";"2018-05-11";305.0;0.0;0.0;0.0;500;"";"";"in progress";17;0;17;"58%";"";"";1.0;"behind schedule";"2961673868,00"
"4.1.3.1";"task5.task6.task23.task24";"      سفتکاری";"2017-07-10";"2017-07-18";8.0;0.0;0.0;0.0;500;"";"";"done";1;0;1;"100%";"";"";1.0;"on schedule";"307850400,00"
"4.1.3.1.1";"task5.task6.task23.task24.task25";"        آهن کشی ودیوارچینی درزژوئن راهرو بلوک 6";"2017-07-18";"2017-07-18";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"153925200,00"
"4.1.3.2";"task5.task6.task23.task26";"      تاسیسات مکانیکی فاز 1";"2017-07-23";"2017-11-28";128.0;0.0;0.0;0.0;500;"";"";"in progress";8;0;8;"99%";"";"";1.0;"behind schedule";"735597540,00"
"4.1.3.2.1";"task5.task6.task23.task26.task27";"        ساخت کانال راهرو بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"38815920,00"
"4.1.3.2.2";"task5.task6.task23.task26.task28";"        ساپورت زنی و شاسی کشی راهرو بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"61997650,00"
"4.1.3.2.3";"task5.task6.task23.task26.task29";"        نصب کانال راهرو بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"in progress";0;0;1;"99%";"";"";1.0;"behind schedule";"38815920,00"
"4.1.3.2.4";"task5.task6.task23.task26.task30";"        عایق کانال راهرو بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"38700000,00"
"4.1.3.2.5";"task5.task6.task23.task26.task31";"        لوله سرد و گرم مصرفی راهرو بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"15615600,00"
"4.1.3.2.6";"task5.task6.task23.task26.task32";"        لوله اطفاء حریق راهرو بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"138458320,00"
"4.1.3.2.7";"task5.task6.task23.task26.task33";"        عایق لوله راهرو بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"24204180,00"
"4.1.3.2.8";"task5.task6.task23.task26.task34";"        تست لوله ها راهرو بلوک 6";"2017-11-28";"2017-11-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"11191180,00"
"4.1.3.3";"task5.task6.task23.task35";"      تاسیسات برقی فاز 1";"2017-09-23";"2017-12-03";71.0;0.0;0.0;0.0;500;"";"";"in progress";5;0;5;"99%";"";"";1.0;"behind schedule";"537092160,00"
"4.1.3.3.1";"task5.task6.task23.task35.task36";"        سوراخکاری و شیارزنی راهرو بلوک 6";"2017-12-03";"2017-12-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"2090000,00"
"4.1.3.3.2";"task5.task6.task23.task35.task37";"        ساپورت زنی راهرو بلوک 6";"2017-12-03";"2017-12-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"6015000,00"
"4.1.3.3.3";"task5.task6.task23.task35.task38";"        سینی کابل راهرو بلوک 6";"2017-12-03";"2017-12-03";0.0;0.0;0.0;0.0;500;"";"";"in progress";0;0;1;"99%";"";"";1.0;"behind schedule";"24217380,00"
"4.1.3.3.4";"task5.task6.task23.task35.task39";"        لوله گذاری صوت، روشنایی و اعلام حریق راهرو بلوک 6";"2017-12-03";"2017-12-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"77175700,00"
"4.1.3.3.5";"task5.task6.task23.task35.task40";"        کابل کشی ولتاژ ضعیف راهرو بلوک 6";"2017-12-03";"2017-12-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"159048000,00"
"4.1.3.4";"task5.task6.task23.task41";"      نازک کاری";"2018-01-21";"2018-04-21";90.0;0.0;0.0;0.0;500;"";"";"in progress";3;0;3;"79%";"";"";1.0;"behind schedule";"1381133768,00"
"4.1.3.4.1";"task5.task6.task23.task41.task42";"        زیرسازی سقف کاذب راهرو بلوک 6";"2018-04-21";"2018-04-21";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"272336064,00"
"4.1.3.4.2";"task5.task6.task23.task41.task43";"        نصب پنل سقف کاذب راهرو بلوک 6";"2018-04-21";"2018-04-21";0.0;0.0;0.0;0.0;500;"";"";"in progress";0;0;1;"99%";"";"";1.0;"behind schedule";"254099492,00"
"4.1.3.4.3";"task5.task6.task23.task41.task44";"        کفسازی راهرو بلوک 6";"2018-04-21";"2018-04-21";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"164131328,00"
"4.1.3.5";"task5.task6.task23.task45";"      تاسیسات مکانیکی فاز 2";"2018-04-21";"2018-05-11";20.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.3.5.1";"task5.task6.task23.task45.task46";"        نصب فن کوئل راهرو بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.3.5.2";"task5.task6.task23.task45.task47";"        نصب دریچه هوا راهرو بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.3.5.3";"task5.task6.task23.task45.task48";"        تست تاسیسات مکانیکی راهرو بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.3.6";"task5.task6.task23.task49";"      تاسیسات برقی فاز 2";"2018-04-21";"2018-05-11";20.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.3.6.1";"task5.task6.task23.task49.task50";"        نصب کلید و پریز راهرو بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.3.6.2";"task5.task6.task23.task49.task51";"        نصب تجهیزات صوت راهرو بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.3.6.3";"task5.task6.task23.task49.task52";"        نصب تجهیزات روشنایی راهرو بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.4";"task5.task6.task53";"    سرویس های بهداشتی";"2017-07-18";"2018-05-11";297.0;0.0;0.0;0.0;500;"";"";"in progress";22;0;22;"56%";"";"";1.0;"on schedule";"3270535382,00"
"4.1.4.1";"task5.task6.task53.task54";"      سفتکاری";"2017-07-18";"2017-12-22";157.0;0.0;0.0;0.0;500;"";"";"done";4;0;4;"100%";"";"";1.0;"on schedule";"1156308148,00"
"4.1.4.1.1";"task5.task6.task53.task54.task55";"        نصب وال پست سرویس بهداشتی بلوک 6";"2017-12-22";"2017-12-22";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"211955744,00"
"4.1.4.1.2";"task5.task6.task53.task54.task56";"        دیوارچینی هبلکس سرویس بهداشتی بلوک 6";"2017-12-22";"2017-12-22";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"272514528,00"
"4.1.4.1.3";"task5.task6.task53.task54.task57";"        شیب بندی سرویس بهداشتی بلوک 6";"2017-12-22";"2017-12-22";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"59339280,00"
"4.1.4.1.4";"task5.task6.task53.task54.task58";"        عایق رطوبتی سرویس بهداشتی بلوک 6";"2017-12-22";"2017-12-22";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"34344522,00"
"4.1.4.2";"task5.task6.task53.task59";"      تاسیسات مکانیکی فاز 1";"2017-07-26";"2017-12-08";135.0;0.0;0.0;0.0;500;"";"";"done";9;0;9;"100%";"";"";1.0;"on schedule";"1071929572,00"
"4.1.4.2.1";"task5.task6.task53.task59.task60";"        ساخت کانال سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"43099056,00"
"4.1.4.2.2";"task5.task6.task53.task59.task61";"        ساپورت زنی و شاسی کشی سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"68838770,00"
"4.1.4.2.3";"task5.task6.task53.task59.task62";"        نصب کانال سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"43099056,00"
"4.1.4.2.4";"task5.task6.task53.task59.task63";"        عایق کانال سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"30960000,00"
"4.1.4.2.5";"task5.task6.task53.task59.task64";"        لوله سرد و گرم مصرفی سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"115109280,00"
"4.1.4.2.6";"task5.task6.task53.task59.task65";"        لوله اطفاء حریق سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"12492480,00"
"4.1.4.2.7";"task5.task6.task53.task59.task66";"        عایق لوله سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"178419384,00"
"4.1.4.2.8";"task5.task6.task53.task59.task67";"        لوله فاضلاب و ونت سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"31603000,00"
"4.1.4.2.9";"task5.task6.task53.task59.task68";"        تست لوله ها سرویس بهداشتی بلوک 6";"2017-12-08";"2017-12-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"12343760,00"
"4.1.4.3";"task5.task6.task53.task69";"      تاسیسات برقی فاز 1";"2017-11-30";"2017-12-17";17.0;0.0;0.0;0.0;500;"";"";"done";4;0;4;"100%";"";"";1.0;"on schedule";"288974572,00"
"4.1.4.3.1";"task5.task6.task53.task69.task70";"        سوراخکاری و شیارزنی سرویس بهداشتی بلوک 6";"2017-12-17";"2017-12-17";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"1900000,00"
"4.1.4.3.2";"task5.task6.task53.task69.task71";"        لوله گذاری صوت، روشنایی و اعلام حریق سرویس بهداشتی بلوک 6";"2017-12-17";"2017-12-17";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"28885762,00"
"4.1.4.3.3";"task5.task6.task53.task69.task72";"        کابل کشی جریان ضعیف(تلفن) سرویس بهداشتی بلوک 6";"2017-12-17";"2017-12-17";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"901524,00"
"4.1.4.3.4";"task5.task6.task53.task69.task73";"        کابل کشی ولتاژ ضعیف سرویس بهداشتی بلوک 6";"2017-12-17";"2017-12-17";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"112800000,00"
"4.1.4.4";"task5.task6.task53.task74";"      نازک کاری";"2017-10-11";"2018-02-28";140.0;0.0;0.0;0.0;500;"";"";"done";5;0;5;"100%";"";"";1.0;"on schedule";"753323090,00"
"4.1.4.4.1";"task5.task6.task53.task74.task75";"        نصب درب و پنجره سرویس بهداشتی بلوک 6";"2018-02-28";"2018-02-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"74360000,00"
"4.1.4.4.2";"task5.task6.task53.task74.task76";"        پوشش دیوارها سرویس بهداشتی بلوک 6";"2018-02-28";"2018-02-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"151833990,00"
"4.1.4.4.3";"task5.task6.task53.task74.task77";"        زیرسازی سقف کاذب سرویس بهداشتی بلوک 6";"2018-02-28";"2018-02-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"59339280,00"
"4.1.4.4.4";"task5.task6.task53.task74.task78";"        نصب پنل سقف کاذب سرویس بهداشتی بلوک 6";"2018-02-28";"2018-02-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"55365715,00"
"4.1.4.4.5";"task5.task6.task53.task74.task79";"        کفسازی سرویس بهداشتی بلوک 6";"2018-02-28";"2018-02-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"35762560,00"
"4.1.4.5";"task5.task6.task53.task80";"      تاسیسات مکانیکی فاز 2";"2018-04-25";"2018-05-11";16.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.4.5.1";"task5.task6.task53.task80.task81";"        نصب شیرآلات و تجهیزات بهداشتی سرویس بهداشتی بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.4.5.2";"task5.task6.task53.task80.task82";"        نصب دریچه هوا سرویس بهداشتی بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.4.5.3";"task5.task6.task53.task80.task83";"        تست تاسیسات مکانیکی سرویس بهداشتی بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.4.6";"task5.task6.task53.task84";"      تاسیسات برقی فاز 2";"2018-05-01";"2018-05-11";10.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.4.6.1";"task5.task6.task53.task84.task85";"        نصب کلید و پریز سرویس بهداشتی بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.4.6.2";"task5.task6.task53.task84.task86";"        نصب تجهیزات صوت سرویس بهداشتی بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.4.6.3";"task5.task6.task53.task84.task87";"        نصب تجهیزات روشنایی سرویس بهداشتی بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.5";"task5.task6.task88";"    رستوران";"2017-07-18";"2018-05-11";297.0;0.0;0.0;0.0;500;"";"";"in progress";10;0;10;"29%";"";"";1.0;"on schedule";"1383620664,00"
"4.1.5.1";"task5.task6.task88.task89";"      سفتکاری";"2017-07-18";"2017-11-09";114.0;0.0;0.0;0.0;500;"";"";"done";2;0;2;"100%";"";"";1.0;"on schedule";"231110880,00"
"4.1.5.1.1";"task5.task6.task88.task89.task90";"        نصب پیش فریم رستوران بلوک 6";"2017-11-09";"2017-11-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"1784640,00"
"4.1.5.1.2";"task5.task6.task88.task89.task91";"        آهن کشی ودیوارچینی درزژوئن رستوران بلوک 6";"2017-11-09";"2017-11-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"113770800,00"
"4.1.5.2";"task5.task6.task88.task92";"      تاسیسات مکانیکی فاز 1";"2017-07-28";"2017-10-28";92.0;0.0;0.0;0.0;500;"";"";"done";6;0;6;"100%";"";"";1.0;"on schedule";"500136600,00"
"4.1.5.2.1";"task5.task6.task88.task92.task93";"        ساخت کانال رستوران بلوک 6";"2017-10-28";"2017-10-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"40154400,00"
"4.1.5.2.2";"task5.task6.task88.task92.task94";"        ساپورت زنی و شاسی کشی رستوران بلوک 6";"2017-10-28";"2017-10-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"64135500,00"
"4.1.5.2.3";"task5.task6.task88.task92.task95";"        نصب کانال رستوران بلوک 6";"2017-10-28";"2017-10-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"40154400,00"
"4.1.5.2.4";"task5.task6.task88.task92.task96";"        عایق کانال رستوران بلوک 6";"2017-10-28";"2017-10-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"38700000,00"
"4.1.5.2.5";"task5.task6.task88.task92.task97";"        لوله اطفاء حریق رستوران بلوک 6";"2017-10-28";"2017-10-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"62462400,00"
"4.1.5.2.6";"task5.task6.task88.task92.task98";"        تست لوله ها رستوران بلوک 6";"2017-10-28";"2017-10-28";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"4461600,00"
"4.1.5.3";"task5.task6.task88.task99";"      تاسیسات برقی فاز 1";"2017-12-17";"2017-12-21";4.0;0.0;0.0;0.0;500;"";"";"done";1;0;1;"100%";"";"";1.0;"on schedule";"9400000,00"
"4.1.5.3.1";"task5.task6.task88.task99.task100";"        کابل کشی ولتاژ ضعیف رستوران بلوک 6";"2017-12-21";"2017-12-21";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"4700000,00"
"4.1.5.4";"task5.task6.task88.task101";"      نازک کاری";"2018-04-13";"2018-04-25";12.0;0.0;0.0;0.0;500;"";"";"done";1;0;1;"100%";"";"";1.0;"on schedule";"642973184,00"
"4.1.5.4.1";"task5.task6.task88.task101.task102";"        کفسازی رستوران بلوک 6";"2018-04-25";"2018-04-25";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"321486592,00"
"4.1.5.5";"task5.task6.task88.task103";"      تاسیسات مکانیکی فاز 2";"2018-04-25";"2018-05-11";16.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.5.5.1";"task5.task6.task88.task103.task104";"        نصب دمپر و فایر دمپر رستوران بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.5.5.2";"task5.task6.task88.task103.task105";"        نصب جعبه و کپسول آتش نشانی رستوران بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.5.5.3";"task5.task6.task88.task103.task106";"        نصب دریچه هوا رستوران بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.5.5.4";"task5.task6.task88.task103.task107";"        تست تاسیسات مکانیکی  رستوران بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.5.6";"task5.task6.task88.task108";"      تاسیسات برقی فاز 2";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.5.6.1";"task5.task6.task88.task108.task109";"        نصب کلید و پریز رستوران بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.1.5.6.2";"task5.task6.task88.task108.task110";"        نصب تجهیزات روشنایی رستوران بلوک 6";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.2";"task5.task111";"  بلوک 10";"2017-06-22";"2017-09-08";78.0;0.0;0.0;0.0;500;"";"";"done";7;0;7;"100%";"";"";1.0;"on schedule";"8898925686,00"
"4.2.1";"task5.task111.task112";"    شیب بندی بام";"2017-06-22";"2017-09-08";78.0;0.0;0.0;0.0;500;"";"";"done";7;0;7;"100%";"";"";1.0;"on schedule";"6674194264,50"
"4.2.1.1";"task5.task111.task112.task113";"      سفتکاری";"2017-06-22";"2017-09-08";78.0;0.0;0.0;0.0;500;"";"";"done";7;0;7;"100%";"";"";1.0;"on schedule";"4449462843,00"
"4.2.1.1.1";"task5.task111.task112.task113.task114";"        دیوارچینی هبلکس شیب بندی بام بلوک 10";"2017-09-08";"2017-09-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"7495488,00"
"4.2.1.1.2";"task5.task111.task112.task113.task115";"        عایق حرارتی شیب بندی بام بلوک 10";"2017-09-08";"2017-09-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"349194560,00"
"4.2.1.1.3";"task5.task111.task112.task113.task116";"        کروم بندی و فوم بتن شیب بندی بام بلوک 10";"2017-09-08";"2017-09-08";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"733308576,00"
